,Control1,Control2,Control3,Control4,Control5,Control6,Patient1,Patient2,Patient3,Patient4,Patient5,Patient6
RNU6-267P,0.2673,0,1.0833,0,0.1197,0,0.3023,0.4276,0,0,0,0.2612
SNORA70,0,0,0,0,0,0,0,0,0.7462,0,0,0
RNU6-965P,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-193P,0.6354,0.2122,0.8583,0,0.3792,0.1732,0.2395,0.5081,1.0332,0.4166,0,1.6557
RNU6-572P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP254,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP462,0.2458,0.9851,0,0,0.7703,0.4021,0.556,0.0983,0.1499,0.1209,0.7809,0.6006
RNU6-919P,0,0,0,0.1899,0,0,0,0,0,0,0,0.2587
SNORD36C,0,0,0,0,0,0,0,0,0,0.2051,0,0
RNU6-1282P,0,0.1437,2.7121,0,0.2568,0.2346,0.1622,0.8028,0.3498,0,0,0.4204
RNU6-362P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP466,0,0.2554,1.7219,0.1829,0.9129,0,0.4325,0.1019,0.3109,0.2507,0.9718,0.8719
RNU7-149P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-759P,0.9356,1.4729,2.3472,0.3835,0.2393,0.7652,0.3023,0.5345,2.6081,1.3144,0.3397,2.2203
RNU6-307P,0.1299,0.1301,0,0,0.1163,0.3187,0.1469,0,0.1584,0,0,0.6345
RNA5SP73,0,0,0,0,0,0.1043,0,0,0,0,0,1.2456
RNU6-861P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-567P,0,0,0,0.7383,0,0,0,0.2058,0,0,0,0.1257
RNU6-256P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-914P,0,0,0,0,0,0,0,0,0,0,0,0
RNU4-18P,0,0,0,0,0,0,0,0,0,0,0,0.0903
RNU1-125P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-922P,0,0,0,0,0,0,0,0,0,0,0,0.6794
RNA5SP45,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-28P,0,0.4449,0,0,0,0,0,0,0,0,0,0.217
RNU6-1153P,0.3933,1.0508,0,0,0.4695,0.1072,0.5931,0.6291,0.3198,0.3868,0.833,1.1531
RNU5B-6P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-135P,0,0.1366,0,0,0.122,0,0.1541,0,0.3325,0.2681,0.1732,0.5328
RNU6-1098P,0.4302,0,1.5498,0,0.5135,0.4692,0.9731,0.2294,0.5247,0.5641,0.5466,0.2803
MIR514B,0,0,0,0,0,0,0,0,1.8888,0,0,0
RNA5SP422,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-143P,0.4236,1.0609,2.0028,0,0.1896,0,0,0,0,0,0,0.4139
RNA5SP468,0,0,0,0,0,0,0,0,0,0,0,0.1446
RNU6-1224P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-656P,0,0,0.1738,0,0,0,0,0,0,0,0,0.1257
RN7SKP82,0,0,0,0,0,0,0,0,0,0,0,0.0603
RNU7-137P,0,0,0,0,0,0,0,0,0,0,0.5643,0.4339
RNA5SP460,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-566P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6ATAC22P,0,0.155,0.6269,0,0,0,0,0,0.3773,0,0,0.1511
RNU2-44P,0,0.0711,0,0,0,0,0,0,0,0,0,0.0693
RNU6-1150P,0,0,0,0,0,0,0,0,0,0,0,0.1359
RNU6-1191P,0.1287,0,0,0,0,0.1052,0,0,0,0,0,0.2514
RNU6-1121P,0,0,0,0,0.2261,0.3099,0.2857,0.101,0.6161,0,0.4814,0.1234
RNU6-807P,0,0.2578,0.5214,0,0.2304,0.3157,0.7275,0.3087,0.3138,0.5061,0.8174,1.5087
RNA5SP441,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1149P,0,0.1422,0,0,0,0,0,0.3405,0.3462,0.1396,0.3607,0.1387
RNU6ATAC24P,0,3.1671,0.2755,0,1.2781,1.6681,0.8073,1.9573,1.2437,0.6017,1.5549,7.5732
RNU6-881P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP481,0,0,0,0,0,0,0,0,0,0.111,0,0.3308
RNA5SP409,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-40P,0,0,0,0,0,0,0,0,0,0,0,0
