,Control1,Control2,Control3,Control4,Control5,Control6,Patient1,Patient2,Patient3,Patient4,Patient5,Patient6
ZC3H12A,12.2964,27.584,13.9282,27.6848,20.2552,7.9885,8.8699,15.0381,24.8772,63.0213,25.319,12.7125
MEAF6,9.1646,11.678,9.7542,6.4549,11.0232,6.1008,5.7693,7.8672,8.5041,8.6844,11.8963,8.221
SNIP1,2.7927,2.839,2.3905,2.435,3.0197,2.2271,3.2292,2.0544,3.4912,2.4931,2.1996,3.6819
DNALI1,3.457,6.5617,3.994,1.3606,3.85,9.8194,0.4612,3.4838,5.1205,0.401,0.632,1.4189
POLR2H,6.1698,19.592,12.3547,5.6938,11.306,15.9948,13.7972,19.5312,20.5518,30.7596,23.2695,7.9063
KLF15,8.654,5.754,0.271,2.4143,2.9826,0.9443,0.1881,0.0469,0.4117,1.6117,0.2486,0.8127
CFAP100,0.0407,0.0245,0.011,0,0.0437,0.0732,0.0138,0.0098,0.1787,0.032,0.0362,0.0955
CAMK2N2,0.9576,0.9404,0.3202,0.1904,0.2716,1.264,0.8256,11.4191,0.4625,0.7459,0.3012,0.176
LIPH,7.624,32.2363,2.4466,7.5825,27.2813,9.2727,12.278,22.5944,8.9418,75.5876,14.1195,8.9343
TMEM41A,1.8073,9.3782,5.0633,4.0852,6.0201,6.5028,4.0934,15.6889,10.5253,7.1923,8.2417,2.5142
RPN1,37.5557,152.7834,50.4208,46.412,89.1845,110.0755,67.1838,108.8418,69.7745,137.3948,97.0973,44.6319
SENP2,4.4504,10.3158,3.8467,3.0533,5.5254,6.0991,5.0661,10.5741,6.1181,7.2094,5.3497,4.9854
HEYL,3.0119,11.7081,3.8043,3.2116,10.2478,11.4448,12.1168,2.2036,5.2917,3.4268,13.7168,38.7996
IFT122,1.4572,4.4313,1.4841,1.4224,3.6388,3.6002,2.0939,3.2289,4.1782,4.0561,2.3763,2.5296
RHO,0,0.005,0,0,0.0045,0.0285,0,0,0.0789,0,0.0063,0.0049
IGF2BP2-AS1,0.0161,0.4281,0.5664,0.0636,0.3429,0.0626,0.0684,0.2515,0.3687,0.2537,0.1742,0.1457
RFC4,1.9338,12.2273,4.9332,1.8517,8.0108,6.3831,6.1455,14.1359,8.9801,14.1253,12.8873,3.2857
RPL39L,5.7703,4.7397,12.44,3.9766,5.5836,12.971,1.1304,2.4087,4.0958,0.5766,1.3208,3.1384
BAP1,10.3056,11.4972,8.7309,11.1513,19.6075,13.2191,16.0474,11.7471,10.5619,27.2712,10.2107,15.5794
TKT,14.1023,21.1786,24.2122,32.1513,37.9711,16.1004,24.3168,41.3124,14.4641,34.7697,18.2269,12.7586
PRKCD,11.4116,18.6243,18.3812,21.7193,35.4072,16.8102,16.0249,15.5,18.0095,32.4628,29.1798,23.6336
RFT1,1.5176,3.1164,2.2775,1.5355,3.8308,2.4517,3.569,4.4589,3.5669,4.8998,3.4097,3.9579
SFMBT1,2.0137,6.3218,2.3733,1.7486,7.58,4.5011,7.0596,4.9903,6.6171,9.6799,6.2598,6.4266
GNL3,5.1612,20.7562,18.3616,17.1693,32.41,20.4539,25.8199,33.3351,24.8367,44.193,47.2533,14.4203
PBRM1,7.2809,9.4018,4.9739,5.8507,12.0271,6.6632,9.5068,9.8921,12.6677,9.7209,10.5346,8.8247
UVSSA,1.34,2.2701,2.4686,1.0213,1.8603,1.7642,4.7737,1.6892,2.0649,1.8299,2.3571,4.3346
FAM208A,5.2534,10.8059,5.0317,3.7955,14.3607,7.9519,11.3977,10.8237,9.7004,8.1815,7.2238,14.6135
ARHGEF3,2.9287,5.7173,2.6612,5.586,5.0228,3.2875,6.1935,13.6633,3.2476,3.9815,3.8757,11.9488
SLBP,13.7808,38.4771,63.8262,17.2754,37.7129,43.9512,30.6502,56.0536,20.8798,45.0837,63.1361,21.478
LRPAP1,10.0077,15.4681,7.2666,7.2806,10.1582,14.5301,7.2851,8.5163,10.6696,10.102,8.4945,6.4939
ZDHHC19,0.051,0.1136,0.2144,0.0325,0.3958,0.0139,0.1154,0.0363,0.3663,0.0056,0.0432,0.2935
SLC51A,2.5267,0.4009,0.2862,0.3265,0.3489,0.5776,0.3816,0.2217,2.182,0.5659,0.3623,0.6211
UBXN7,4.7099,11.6031,5.1209,3.2977,6.4609,5.4482,5.7683,5.2587,6.6683,4.6571,5.4793,5.8799
RNF168,3.262,8.4346,2.845,4.4581,4.5822,5.9763,5.9981,8.1311,2.2168,10.2213,5.3357,5.0468
PIGX,6.335,12.2316,4.3962,4.5931,8.5767,7.9598,5.4593,3.7912,4.3654,8.3707,3.3206,4.4357
MELTF,0.1738,0.9464,0.9349,1.1435,26.1013,0.6546,2.426,17.4169,12.6391,5.8433,0.7711,0.6058
OTOP1,0,0,0.0094,0.2393,0,0.0114,0.0079,0,0.0085,0.0068,0,0.0068
S100P,363.4437,568.8103,212.9382,146.1278,256.8273,565.9743,546.4975,24.7309,76.2475,749.0181,674.5538,113.1309
ABLIM2,0.835,1.2258,1.1491,2.9947,2.9042,4.8885,1.9316,0.7481,0.8741,4.3034,0.366,1.4094
EXO5,0.2449,0.7271,0.83,0.2491,0.4345,1.8681,0.4632,0.5662,1.9602,1.0202,0.43,0.8484
CLDN19,0.0115,0.3331,0.0465,0.0384,0.4448,0.0656,0.0303,0.0061,1.7339,0.0752,0.0097,0.056
C1ORF50,0.7214,0.527,0.2639,0.4595,0.8464,0.6582,0.7717,0.3624,0.9783,0.2817,0.4434,1.4022
ERMAP,1.0613,1.7867,1.0469,1.4156,1.7819,2.2323,1.3555,1.0163,2.3834,0.6911,1.3853,2.1731
ZNF691,2.6505,3.7799,3.882,1.7654,4.4189,6.0668,3.3417,2.6929,9.3018,3.8965,4.2099,5.0281
AIMP1,4.8336,6.6434,5.079,3.8759,6.8078,8.4477,7.7329,7.6764,8.7295,8.454,10.4963,6.827
SGMS2,4.2786,5.4211,1.9023,6.4175,10.1308,7.6112,15.1896,5.5834,2.8917,11.4599,10.4657,6.1421
METAP1,6.758,10.0105,9.8189,14.7417,18.3901,18.1941,15.8517,17.6225,21.0671,24.5007,32.5417,13.9575
DNAJB14,2.3563,3.088,2.2368,2.1805,3.7629,4.5594,4.7835,2.5958,3.0084,3.3172,5.1452,6.1993
H2AFZ,34.6822,32.4325,49.5321,19.5318,36.648,49.1608,54.0521,78.7071,46.6553,112.4491,110.2639,22.9875
EMCN,3.1567,3.5787,4.9082,3.051,3.2456,3.1611,5.4425,1.5263,1.4121,0.7355,1.8805,4.1512
SLC9B1,0.2374,0.1306,0.195,0.1135,0.1084,0.2094,0.1737,0.0894,0.1647,0.1419,0.1656,0.3321
SLC9B2,2.4987,3.7655,0.8466,0.6399,1.6402,0.9441,5.5271,0.3516,1.2478,12.906,1.489,2.4386
BDH2,4.0245,2.4261,1.2522,2.1822,2.2034,2.4839,2.1652,2.3379,4.9566,3.1995,5.1541,2.5263
PGRMC2,29.3654,15.873,12.3498,15.352,13.8272,20.7743,17.9584,11.6951,14.9348,19.8476,26.2424,13.8042
CDC25A,0.1827,1.3542,2.3016,0.9386,3.1904,1.3039,2.3288,8.5421,2.6126,7.3161,4.6126,0.6718
CAMP,0.1663,0.0555,0.3495,1.2459,0.0331,0.0907,0.1254,0.2364,2.1184,0,0.0704,0.6139
ZNF589,2.1842,2.2133,1.2328,0.7691,2.585,1.1788,2.0896,2.9753,2.0709,2.712,3.0226,4.4809
FBXW12,0.0158,0.0198,0.032,0,0.0353,0.0517,0.0089,0.0821,0.3369,0.066,0.01,0.0964
PLXNB1,6.7379,11.6487,7.4689,9.3045,26.7184,18.4942,9.0771,16.8786,11.9956,22.9071,6.2839,8.8567
CCDC51,2.4562,4.0346,5.3476,1.9258,6.4538,4.2469,7.8813,7.9306,5.8658,12.364,5.6977,2.9249
ATRIP,0.9074,1.5948,1.4176,1.44,2.4622,1.5197,2.0038,1.8975,1.4684,3.5571,2.5735,1.8949
SHISA5,20.4456,27.1286,68.0204,48.0732,50.8177,30.1265,47.0505,34.9695,33.46,40.0074,39.3617,38.6639
SPRY1,15.5065,17.0529,44.9323,20.6363,20.6964,15.442,13.7107,12.1876,11.3116,10.9076,17.8102,26.1341
BSN,0.1365,0.2751,0.0504,0.0316,0.2375,0.1179,0.092,0.1268,0.3815,0.0667,0.0485,0.275
APEH,9.1028,16.4195,15.0457,15.2103,23.2872,14.8399,26.6026,28.7571,13.3556,40.917,18.2435,15.1791
INTU,1.0204,0.7059,0.0951,0.4888,0.7975,1.1849,1.2045,0.5477,1.0058,0.7959,1.4514,0.8529
RNF123,2.9373,4.0545,2.2535,2.9016,5.6963,4.3967,5.2883,6.5637,3.4172,8.1294,2.4592,5.4651
HSPA4L,2.2613,1.1092,0.1203,4.3766,0.5419,1.0936,7.6694,2.6429,0.2246,2.1717,4.0432,2.0533
MFSD8,1.1528,1.9264,1.5846,0.8481,2.624,2.5449,1.9582,1.1708,3.0566,1.9766,3.3348,3.121
ABHD18,2.2434,4.1518,3.3967,1.4841,3.4969,3.9955,3.0432,1.4511,2.686,3.9562,3.2523,3.9874
CAMKV,0.0229,0.0153,0.0721,0.0055,1.1803,0.0312,0.0388,0,4.3217,0.03,0.029,0.0186
MON1A,2.1591,2.3664,1.6849,1.6667,2.1376,1.4009,2.6182,2.7311,0.9064,8.7894,2.4125,1.7676
MST1R,3.3577,8.9601,2.376,2.3389,18.6957,10.9596,26.8424,15.6425,2.9186,42.0421,20.2069,14.5204
RAD54L2,2.6576,2.8662,2.4595,2.1763,4.738,1.9509,3.0696,4.9315,2.0163,2.9451,2.4675,4.313
TEX264,4.6686,5.6788,10.966,6.4268,10.4135,6.5642,7.2315,7.1869,3.483,12.1219,6.5689,5.4727
GRM2,0.0078,0.0913,0.0838,0.0974,0.1268,0.1793,0.1382,0.0589,0.0402,0.1697,0.0394,0.1706
DUSP7,2.3603,4.6444,3.1361,35.9556,9.8005,9.2298,6.6736,5.3854,2.6092,7.5822,5.2363,6.6846
POC1A,0.5206,3.4692,5.005,1.6327,6.2978,3.5007,6.6,7.3446,2.813,16.7707,7.8001,2.1711
PPM1M,4.5989,3.4757,2.9337,2.7103,3.3212,2.9,3.725,2.2648,2.6206,3.1565,3.2395,8.7643
ETNPPL,0.014,0.0375,0.0126,0.0336,0.1885,0.1952,0.1323,0,0.0285,0.138,0,0.0274
WDR82,15.9109,19.3266,14.8315,15.3843,26.1814,14.7071,27.1795,23.0628,21.9475,26.8488,26.9314,27.6503
PITX2,0.0095,0.0024,0.0386,0.5256,0.2257,1.2355,0.7049,0,0.3481,0.0047,0.0786,0.2069
C4ORF3,54.8739,23.3206,21.5625,59.2545,19.6485,25.8859,28.187,16.0682,35.808,20.9748,47.5073,28.0635
PRSS12,0.7262,1.1058,0.2209,0.5864,4.9126,0.8654,2.5726,0.1808,1.5191,1.3006,0.2536,2.4484
NDST3,0.0603,0.0101,0.0624,0.049,0.0593,0.0296,0.0182,0,0.0343,0.004,0.0281,0.0196
HMGB2,19.9297,42.904,46.3881,18.0713,51.9008,23.584,41.6164,67.0348,42.0889,68.4795,104.7214,24.6579
SAP30,20.2128,7.6283,6.0664,6.3367,4.5193,6.5459,13.2972,12.9189,4.207,23.7665,32.4993,7.7898
SCRG1,4.0303,0.1189,0.0984,0.3793,0.0072,0.203,3.1028,0.0324,0.1678,0.0504,1.1003,0.2689
HAND2,28.8015,0.337,0.2531,0.2084,0.0103,0.7817,9.2782,0.0642,0.0886,0.0639,1.7973,1.0423
MAD2L1,0.5589,4.3723,7.8676,1.8686,8.2432,8.0759,8.9231,7.7569,7.4407,14.5957,18.6275,2.4042
ANXA5,77.2551,73.5196,151.5866,68.1671,105.3804,161.678,105.9589,28.7118,138.936,110.6832,144.0957,61.4208
TMEM155,0.0955,0.0683,0.0369,0.0522,0.3013,0.0967,0.072,0.0764,0.1109,0.0089,0.1502,0.0489
ADAD1,0,0,0.0069,0,0,0,0.0058,0.0041,0.0871,0,0.0324,0.0548
MAP9,3.6059,0.5777,0.9386,0.5664,1.3066,2.3379,1.0564,0.1852,2.1515,0.1513,0.8907,3.7713
GUCY1A3,10.6697,6.8466,3.1004,1.0988,5.9214,2.594,9.8732,0.9104,3.9065,1.1453,7.8809,9.4016
FBXO8,11.5827,7.8963,7.0086,7.5053,5.4801,14.2362,8.9206,7.4028,7.3515,5.469,13.5877,8.1273
CEP44,2.0477,2.1977,1.2347,0.9737,2.023,6.1396,2.406,1.6999,1.7551,1.6466,3.1011,2.7992
HPGD,37.7692,9.2637,4.0247,24.2054,13.1379,5.0792,2.1196,1.4013,4.189,40.6581,6.9989,18.9733
ASB5,13.4006,0,0,0.3933,0.0058,0,2.5542,0.0026,0.1552,0.0481,0.4106,0.0383
C4ORF45,0.0093,0.0278,0.0751,0,0.0829,0.0227,0,0.0074,0.1921,0.0273,0.0942,0.1177
TMEM144,1.1417,4.1489,4.2048,1.0464,11.0079,1.0836,3.0219,1.7238,15.1265,3.4094,4.2199,2.435
FAM198B,6.8813,10.1305,21.1813,3.5639,9.4968,13.3216,9.8689,2.8893,32.8523,2.6629,15.004,11.3372
NPY1R,0.8094,0.1351,0.1776,1.052,0.1579,8.0035,0.2425,0.0664,0.5484,0.0476,0.1187,2.099
NPY5R,0.0701,0.0207,0.0111,0.1775,0.0074,0.0405,0.0047,0.0033,0.0151,0,0,0.2781
NAA15,2.7492,5.8071,3.868,3.9298,23.9579,9.2615,10.0882,8.6503,6.8832,10.585,13.1428,7.3331
IL15,0.6118,0.7022,0.6375,0.3285,1.4099,0.4804,1.1999,1.2315,0.7013,0.4211,1.5969,1.7422
FAM160A1,0.5975,2.6599,0.4444,5.6331,5.3105,1.3092,2.01,2.4198,0.8024,2.2885,1.5302,1.7868
ARFIP1,8.1907,11.201,6.4473,7.3834,26.9616,10.5845,14.1065,12.5081,9.0338,18.9577,13.8948,11.6026
ICE1,3.8027,7.1669,5.4778,2.7004,9.6896,8.9043,7.4822,8.2677,6.3688,5.0044,6.442,10.1423
HHIP,0.4405,0.6515,0.2259,0.0364,0.1136,0.2216,0.0691,0.1937,2.5805,0.0159,1.178,0.6749
ANAPC10,1.0716,0.7899,1.2379,0.6114,1.9378,0.5951,0.8401,0.8765,1.4666,1.1945,1.5551,0.9192
ABCE1,3.9247,9.9504,7.324,6.2368,39.8962,10.4693,16.5796,18.8577,15.576,18.6013,26.6414,11.5207
OTUD4,3.7205,7.3723,4.3555,5.215,27.1133,6.472,13.1975,7.7009,8.7803,11.1771,13.8774,12.6689
LSM6,2.5558,3.1678,3.7334,1.3067,6.2786,2.0961,4.3123,5.4591,3.3663,5.061,4.581,3.567
TMEM184C,6.5893,10.3154,4.1309,4.714,24.568,8.5363,12.3619,9.4432,8.6461,9.9846,13.6737,10.3356
PRMT9,10.3594,2.1218,1.5435,1.4942,5.9689,1.5756,3.4786,3.0589,2.2856,2.278,3.3639,3.8056
ITGA2,2.1898,10.1676,6.8561,8.484,13.7387,8.7913,11.6293,30.1762,13.87,10.6233,12.0604,9.0278
MOCS2,8.733,5.9653,5.156,2.8594,2.2315,7.5252,6.8996,8.6498,7.2561,4.7673,9.6122,4.3341
SLC45A2,0,0.0599,0.2135,0,0.0191,0.0314,0.0097,0.0102,0.6355,0.0084,0.1411,0.025
EDIL3,16.465,5.5121,11.0625,5.106,10.4013,8.9537,1.9378,4.5986,18.1902,1.7617,11.4834,3.1408
TMEM161B,0.9696,1.6137,1.3989,1.0226,0.782,2.0448,1.5913,2.199,1.9679,1.2906,3.4901,2.4794
ELOVL7,1.5615,10.9136,10.3678,2.218,5.962,2.0091,5.9923,3.855,11.5204,8.2485,4.1094,7.7318
NDUFAF2,4.6943,2.1291,3.8663,1.7801,0.9522,1.5296,3.257,1.7601,1.8193,3.6293,2.9736,1.701
ZNF474,0.1586,0.1324,0.0625,0.0853,0.1006,0.9189,0.2168,0.0634,0.1693,0.117,0.3527,0.071
LMBRD2,3.2437,6.4617,9.9287,2.0785,2.0585,8.1145,5.7712,5.2531,5.7191,2.6405,5.7135,5.6583
RANBP3L,0.482,0.0367,0.0571,0.0687,0.0278,0.0899,0.0797,0.018,0.0516,0.0166,0.5014,0.1377
NIPBL,5.1418,9.6519,15.7627,5.0213,10.7652,12.8733,8.6954,11.0246,10.1254,7.0075,9.8731,15.0437
RNF180,2.8571,1.1064,0.3798,1.1846,0.6531,0.5573,0.7018,0.1256,0.4356,0.142,0.9784,1.5024
ADGRV1,0.002,0.0037,0.0671,0.122,0.0532,0.1621,0.0046,0.0085,1.6704,0.0136,0.0584,0.0366
SLC25A46,5.6796,7.5598,4.7336,4.9815,4.3948,5.4665,10.0944,6.5898,7.0487,3.0465,8.4522,9.2312
STARD4,2.6326,3.0234,5.3756,1.6052,2.0837,3.1418,4.2784,0.8581,5.5147,2.8843,5.124,4.5985
PGGT1B,3.0187,3.2408,2.4694,1.8064,1.6781,2.4669,3.8192,2.6352,3.645,1.9442,4.5568,4.3607
F2RL2,3.7849,10.4452,11.7487,0.8171,11.048,0.5716,4.413,7.9633,15.9421,0.8223,9.5726,2.171
CCDC112,3.1301,10.1392,2.4509,0.8592,1.546,2.7282,4.6277,3.1291,3.0657,3.7704,7.3714,3.3321
ANKRD33B,0.965,0.5013,0.1741,0.4208,0.4516,0.546,0.6092,0.2149,0.5968,0.1294,0.1742,2.6923
CMBL,11.062,24.629,19.576,2.5769,17.0201,2.2787,22.9866,3.8135,2.8338,37.8688,20.3266,12.6643
C5ORF63,0.291,0.9514,1.0036,0.5713,0.6239,0.7454,0.602,0.075,2.0829,0.7475,2.2918,2.0132
PRRC1,4.0114,13.0512,7.6889,6.0086,7.6754,11.3981,16.0051,7.9905,13.4758,5.4413,10.3939,10.5828
F2RL1,14.344,12.8317,13.8938,6.1809,23.9467,19.9101,27.5617,14.0082,45.0908,59.2716,35.6833,13.7232
AGGF1,2.3883,3.0122,3.7364,1.9506,2.8436,5.3211,4.8637,2.4242,4.0372,3.0186,4.9571,4.3121
WDR41,2.3017,2.9878,2.4532,3.41,3.01,5.7268,5.4418,4.522,4.0486,3.9926,7.9489,5.3237
PRDM9,0,0.0075,0.0101,0,0.0033,0,0,0,0.0364,0,0,0.0292
NDUFS4,49.4479,23.8482,34.5012,27.7566,7.1281,29.7606,23.3401,31.885,30.5613,18.6465,34.9401,17.3941
SCGB3A2,0,0,0,0.2388,0.0229,0.0628,0,0.0102,0.203,0.0126,0.0651,0.0375
SPINK1,34.8857,715.4512,597.4968,4.2372,55.5375,17.8369,115.5598,117.345,435.1555,67.3221,13.3924,131.2713
HTR4,0.0098,0.0137,0.293,0.014,0.0122,0.0016,0,0.0016,0.0548,0,0.0099,0.0134
ESM1,0.0818,0.7736,3.3712,0.1981,13.5103,3.8146,0.5263,1.914,1.3908,0.9555,1.8519,0.3348
GRPEL2,1.7632,4.4319,3.977,24.786,3.2854,3.2283,6.6271,4.2903,4.4719,6.0016,8.0436,4.5237
CDC20B,0.003,0.0122,0.0823,0.0218,0.0055,0.0075,0.0069,0.0049,0.2079,0,0.0387,0.0922
ARSK,1.8015,1.5817,1.118,0.9452,1.5131,1.8406,1.8215,1.3568,1.6576,0.7669,1.8847,1.7014
RHOBTB3,7.294,2.0281,5.9602,3.6738,4.5517,4.3613,3.2577,3.7431,15.9582,0.5567,3.2738,1.8821
GPX8,3.182,4.0438,4.0274,3.0124,5.5179,11.7858,14.522,1.2357,8.5047,2.5101,14.2621,5.2279
TIGD6,0.507,1.1663,0.7255,0.5742,0.5346,0.8212,0.9657,0.6269,1.5459,0.8529,1.0257,1.092
SPZ1,0.0072,0,0.0194,0,0.0129,0.0235,0.0081,0,0.035,0.0071,0,0
SERINC5,3.0118,8.5508,20.8586,9.416,21.2615,25.7065,8.2831,9.6593,15.2089,8.0626,7.5552,8.9522
ENPP6,0.3818,0.1225,0.0564,0.1412,0.0427,0.0317,0.054,0.0477,0.4111,0.0235,0.0303,0.4227
CAGE1,0.0078,0.0157,0.0212,0.0619,0.0632,0.0385,0.0177,0.0125,0.0861,0.0193,0.0149,0.0307
CASP3,11.1212,18.1784,15.2613,10.6547,21.9921,13.7261,23.7373,8.1842,26.9245,13.921,35.0995,11.5219
PRIMPOL,1.9842,2.1462,1.5003,1.5224,2.837,1.4615,2.3725,0.9948,2.0769,1.1261,4.4154,3.2895
ERAP1,7.1837,13.4778,10.5637,2.8114,8.6559,5.2862,12.2631,22.7427,15.3271,5.1886,16.1054,22.03
ERAP2,5.4506,1.9102,1.9686,3.5136,6.7836,12.7836,3.7103,3.6483,1.7676,0.7068,55.4333,24.8229
CMYA5,1.0223,0.1542,0.0445,0.1333,0.1499,0.2922,0.3077,0.0511,0.2668,0.04,0.2817,0.3443
EGFLAM,0.5989,0.4484,0.77,0.3098,1.3953,0.9542,0.4507,0.1389,0.3068,1.0707,0.4555,1.1618
CFAP97,6.06,6.5201,3.858,4.7698,7.6223,5.2526,8.4165,4.6384,8.7005,5.1596,8.8265,8.4694
TMEM174,0,0,0,0.0112,0,0,0,0,0,0.0077,0,0
CARTPT,36.7097,0.0125,0,0,0,0,2.5102,0.01,0,0.0245,0.2852,0.0487
RICTOR,2.312,3.7719,5.0229,1.9822,4.3891,3.6765,4.2958,4.8007,5.4869,2.3527,4.2232,7.7157
PAPD4,5.7684,7.6071,7.6981,7.0887,6.5561,10.7098,10.0118,12.0031,8.6233,6.7838,11.8363,14.3389
EBF1,4.1105,2.633,2.5489,2.3794,2.3859,1.7815,2.7042,0.565,0.9623,0.5109,1.5385,9.7478
ANKRA2,3.5293,4.8681,7.1851,3.1769,3.5978,2.9514,4.4834,3.8504,4.3044,3.1451,4.9494,7.2164
UBLCP1,9.5128,8.8755,6.1386,9.5258,5.3692,19.5159,14.6081,10.4688,20.4909,9.0418,18.5932,17.0243
FAM170A,0,0.05,0.027,0,0,0.0082,0,0.008,0.0244,0,0,0.0879
UTP15,1.0949,2.2093,1.7233,1.3834,1.9742,2.0119,3.6214,4.5996,2.4451,3.9068,4.4201,3.2844
TLR3,3.9159,3.4865,1.9358,2.8339,1.4295,1.1452,8.5959,1.7059,1.0735,1.077,6.1126,3.1365
KLKB1,0.4109,0.1467,0.3381,0.0136,0.055,0.0773,0.1923,0.034,0.2419,0.0836,0.216,0.3092
NSA2,24.7219,9.1029,14.5456,11.411,6.7658,14.6454,18.6155,15.8933,17.4154,15.1805,30.9378,21.8702
GFM2,2.7075,6.4532,3.0628,2.7155,4.1154,6.7031,5.2066,8.7307,6.4731,6.5764,7.0613,7.7103
TERT,0.007,0.1048,0.3613,0.0334,0.331,0.5915,0.1631,0.0316,1.1968,0.2538,0.2127,0.2068
SLC6A18,0.0066,0,0.0266,0,0.0176,0.043,0,0,0.1362,0.0065,0,0.0321
CCDC127,1.8618,1.2731,2.5575,0.68,1.2399,2.6217,1.8311,1.9811,1.9676,1.1471,1.7017,1.6268
FOXQ1,16.5649,153.1995,65.8759,20.7289,46.5332,52.6342,59.4496,62.1441,5.4324,42.4914,9.8736,27.4759
LINC01600,0,0.071,0.0658,0,0.0278,0.0435,0.015,0.0035,0.2323,0.0131,0.0056,0.0563
ADGRF2,0,0.0302,0.1134,0.3088,0.0116,0.0106,0.0146,0.0327,0.168,0.0085,0.0055,0.0063
ACSL6,0.0502,0.0625,0.081,0.0081,0.016,0.0179,0.0421,0.0279,0.0998,0.004,0.0216,0.406
IL3,0,0.0149,0,0,0,0,0,0,0.0363,0,0,0
CSF2,0.0349,0.28,0.59,0,2.0176,0.0143,0.2766,0.2655,0.1918,1.8211,0.111,0.0341
8-Sep,3.2107,10.3337,5.4568,7.6138,7.9648,7.7835,9.9181,8.6389,10.1054,6.1149,16.1627,11.6375
SHROOM1,1.88,6.3468,8.3044,3.0514,3.0863,2.7469,3.3625,6.7596,4.5096,4.708,2.5647,5.8526
GDF9,0.0378,0.2019,0.1475,0.0663,0.2255,0.1717,0.1472,0.0537,0.256,0.1362,0.3308,0.1887
UQCRQ,34.0057,24.0085,39.2735,36.9609,8.9239,17.646,25.6065,32.2944,16.5245,22.1748,22.3269,17.3279
LEAP2,5.7082,0.9137,3.8991,0.1385,0.3266,0.2984,0.4854,0.5235,4.6586,0.9497,1.7724,1.6566
GJB7,0.0202,0.0253,2.2573,0,1.8801,0.5657,0,0.0242,3.2261,0.5064,0.0321,0.0543
SLC35A1,4.1768,5.2221,5.6705,2.1195,4.7469,5.8219,5.3874,6.5926,7.1822,8.446,13.8606,3.9736
GRIK2,0.3385,0.0487,0.0141,0.0623,0.0233,0.0866,0.0766,0.0125,0.235,0.0034,0.1412,0.0424
MB21D1,0.996,8.5118,4.1569,1.9115,6.2272,3.7389,7.874,12.8191,1.8382,5.1343,3.822,4.3863
FABP7,0.0443,0.0555,0.0224,0.3256,0.0496,0.0045,0.0751,0.0797,0.0135,0.098,0.0492,0.1677
TLX3,0.0718,0,0,0.0257,0.0161,0,0,0,0,0.0088,0.0114,0
TXLNB,1.5213,0.3336,0.221,0.2059,0.2801,0.155,0.4253,0.0735,0.2906,0.048,0.1131,1.1893
CITED2,52.8839,13.4368,18.3141,26.7536,20.8311,18.1131,18.679,11.4865,20.5037,5.2663,21.3963,29.2508
FAM26D,0,0,0,0.0307,0,0,0,0,0.0348,0,0,0.007
T,0,0,0,0,0,0.1557,0.006,0,0.0645,0,0.0202,0.0207
CREBRF,4.8488,4.9138,4.1784,1.9664,3.4137,2.6321,3.3756,1.473,4.1752,1.4457,2.6594,7.2165
DCBLD1,0.6137,3.3656,2.4082,1.2743,4.2383,7.1762,4.7398,5.1666,5.7713,4.7192,6.1925,2.5429
SFXN1,3.1316,6.5618,4.2457,5.2606,9.0583,11.4026,11.6425,6.3186,7.6002,8.8298,15.6598,5.8063
SAMD3,0.0279,0.4138,0.1644,0.0315,0.1893,0.0326,0.2685,0.2282,0.1533,0.0137,0.3777,0.9612
TMEM200A,0.8883,4.2096,6.4191,0.1753,2.2259,2.3738,2.6737,3.8528,2.5537,0.3536,4.6881,7.7572
IL22RA2,0,0.1047,0.321,0.075,0.0511,0.0777,0.3224,0.0228,0.3767,0.1308,0.2234,0.5387
DACT2,0.0746,0.0195,4.6646,0.7023,0.7489,4.2748,0.055,0,3.6655,0.0064,0.0082,2.2336
PDSS2,3.1949,9.1947,3.5809,4.0697,4.8437,5.3671,8.7473,5.4164,5.6479,7.2852,7.3833,4.4018
C7ORF72,0.0086,0,0,0,0,0,0,0,0,0,0,0.0251
STXBP5,2.612,4.9842,1.7545,3.2151,3.4942,4.1377,5.4426,3.6056,3.9048,4.1939,6.1716,4.8179
HIST1H2AA,0,0,0,0,0,0,0,0,0,0,0,0
IL31RA,0.3393,0.0238,0.0496,0.0279,0.0174,0.0601,0.1955,0.0432,0.0922,0.034,0.033,0.0634
ANKRD55,0.0514,0.1123,0.6876,0.0335,0.0418,0.0726,0.1848,0.0336,0.3417,0.0321,0.0771,1.8298
RAET1E,0.0367,0.0505,0.0557,3.2674,0.0041,0.1199,0.0674,0.0367,0.0224,0.0856,0.0058,0.0627
PI16,40.522,1.8728,0.5083,5.6463,0.6363,0.3908,2.3911,0.5779,0.6847,0.323,1.1156,2.2119
TBX20,0,0.0302,0.0102,0,0.0337,0,0.0256,0,0.0184,0.0074,0.0287,0.1177
DAGLB,1.3658,3.4124,4.6436,2.3188,3.4483,6.1628,3.3944,5.1147,5.7669,3.7925,2.6782,5.1079
KIAA0895,1.3833,3.066,1.0178,0.7525,1.8386,2.7035,1.6194,1.2278,1.6476,1.9798,2.239,1.5774
STK17A,3.7352,6.4871,4.5126,6.2692,4.5737,4.1865,7.005,6.767,6.1273,3.0873,7.0056,18.2173
TRA2A,14.6471,12.8937,39.9921,7.9143,12.8083,11.7209,17.5703,23.7322,27.1228,11.0353,23.8307,14.1142
